time, device, operation, ts, tr_data_tag, time_end, latency
0, 1, SEND, 128, 1, 18620, 18620
20000, 2, REQUEST, 128, 1, 38620, 18620
40000, 1, SEND, 128, 2, 58620, 18620
60000, 2, REQUEST, 128, 2, 78620, 18620
80000, 1, SEND, 128, 3, 98620, 18620
100000, 2, REQUEST, 128, 3, 118620, 18620
101000, 3, REQUEST, 128, 1, 119620, 18620
102000, 3, REQUEST, 128, 2, 138240, 36240
103000, 3, REQUEST, 128, 3, 156860, 53860
150000, 1, SEND, 128, 4, 168620, 18620
150001, 2, SEND, 128, 5, 168621, 18620
150002, 3, SEND, 128, 6, 168622, 18620
151000, 1, REQUEST, 128, 4, 187240, 36240
152000, 2, REQUEST, 128, 5, 187241, 35241
153000, 3, REQUEST, 128, 6, 187242, 34242
200000, 1, SEND, 1024, 7, 348947, 148947
200001, 2, SEND, 1024, 8, 348948, 148947
200002, 3, SEND, 1024, 9, 348949, 148947
220000, 1, SEND, 128, 10, 367567, 147567
240000, 2, SEND, 128, 11, 367568, 127568
260000, 3, SEND, 128, 12, 367569, 107569
280000, 1, SEND, 128, 13, 386187, 106187
300000, 2, SEND, 128, 14, 386188, 86188
320000, 3, SEND, 128, 15, 386189, 66189
340000, 1, SEND, 128, 16, 404807, 64807
360000, 2, SEND, 128, 17, 404808, 44808
380000, 3, SEND, 128, 18, 404809, 24809
400000, 1, SEND, 128, 19, 423427, 23427
420000, 2, SEND, 128, 20, 438620, 18620
440000, 3, SEND, 128, 21, 458620, 18620
460000, 1, SEND, 128, 22, 478620, 18620
480000, 2, SEND, 128, 23, 498620, 18620
500000, 3, SEND, 128, 24, 518620, 18620
520000, 1, SEND, 128, 25, 538620, 18620
540000, 2, SEND, 128, 26, 558620, 18620
560000, 3, SEND, 128, 27, 578620, 18620
580000, 1, SEND, 128, 28, 598620, 18620
600000, 2, SEND, 128, 29, 618620, 18620
620000, 3, SEND, 128, 30, 638620, 18620
640000, 1, SEND, 1024, 31, 788947, 148947
660000, 1, REQUEST, 128, 4, 678620, 18620
680000, 2, REQUEST, 128, 5, 698620, 18620
700000, 3, REQUEST, 128, 6, 718620, 18620
time, device, operation, ts, tr_data_tag, time_end, latency
0, 1, SEND, 128, 1, 18620, 18620
20000, 2, REQUEST, 128, 1, 38620, 18620
40000, 1, SEND, 128, 2, 58620, 18620
60000, 2, REQUEST, 128, 2, 78620, 18620
80000, 1, SEND, 128, 3, 98620, 18620
100000, 2, REQUEST, 128, 3, 118620, 18620
101000, 3, REQUEST, 128, 1, 119620, 18620
102000, 3, REQUEST, 128, 2, 138240, 36240
103000, 3, REQUEST, 128, 3, 156860, 53860
150000, 1, SEND, 128, 4, 168620, 18620
150001, 2, SEND, 128, 5, 168621, 18620
150002, 3, SEND, 128, 6, 168622, 18620
151000, 1, REQUEST, 128, 4, 187240, 36240
152000, 2, REQUEST, 128, 5, 187241, 35241
153000, 3, REQUEST, 128, 6, 187242, 34242
200000, 1, SEND, 1024, 7, 348947, 148947
200001, 2, SEND, 1024, 8, 348948, 148947
200002, 3, SEND, 1024, 9, 348949, 148947
220000, 1, SEND, 128, 10, 367567, 147567
240000, 2, SEND, 128, 11, 367568, 127568
260000, 3, SEND, 128, 12, 367569, 107569
280000, 1, SEND, 128, 13, 386187, 106187
300000, 2, SEND, 128, 14, 386188, 86188
320000, 3, SEND, 128, 15, 386189, 66189
340000, 1, SEND, 128, 16, 404807, 64807
360000, 2, SEND, 128, 17, 404808, 44808
380000, 3, SEND, 128, 18, 404809, 24809
400000, 1, SEND, 128, 19, 423427, 23427
420000, 2, SEND, 128, 20, 438620, 18620
440000, 3, SEND, 128, 21, 458620, 18620
460000, 1, SEND, 128, 22, 478620, 18620
480000, 2, SEND, 128, 23, 498620, 18620
500000, 3, SEND, 128, 24, 518620, 18620
520000, 1, SEND, 128, 25, 538620, 18620
540000, 2, SEND, 128, 26, 558620, 18620
560000, 3, SEND, 128, 27, 578620, 18620
580000, 1, SEND, 128, 28, 598620, 18620
600000, 2, SEND, 128, 29, 618620, 18620
620000, 3, SEND, 128, 30, 638620, 18620
640000, 1, SEND, 1024, 31, 788947, 148947
660000, 1, REQUEST, 128, 4, 678620, 18620
680000, 2, REQUEST, 128, 5, 698620, 18620
700000, 3, REQUEST, 128, 6, 718620, 18620
time, device, operation, ts, tr_data_tag, time_end, latency
0, 1, SEND, 128, 1, 18620, 18620
20000, 2, REQUEST, 128, 1, 38620, 18620
40000, 1, SEND, 128, 2, 58620, 18620
60000, 2, REQUEST, 128, 2, 78620, 18620
80000, 1, SEND, 128, 3, 98620, 18620
100000, 2, REQUEST, 128, 3, 118620, 18620
101000, 3, REQUEST, 128, 1, 119620, 18620
102000, 3, REQUEST, 128, 2, 138240, 36240
103000, 3, REQUEST, 128, 3, 156860, 53860
150000, 1, SEND, 128, 4, 168620, 18620
150001, 2, SEND, 128, 5, 168621, 18620
150002, 3, SEND, 128, 6, 168622, 18620
151000, 1, REQUEST, 128, 4, 187240, 36240
152000, 2, REQUEST, 128, 5, 187241, 35241
153000, 3, REQUEST, 128, 6, 187242, 34242
