time,device,operation,ts,tr_data_tag,,,,,,,,,
0,1,SEND,128,1,,,,,,,,,
20000,2,REQUEST,128,1,,,,,,,,,
40000,1,SEND,128,2,,,,,,,,,
60000,2,REQUEST,128,2,,,,,,,,,
80000,1,SEND,128,3,,,,,,,,,
100000,2,REQUEST,128,3,,,,,,,,,
101000,3,REQUEST,128,1,,,,,,,,,
102000,3,REQUEST,128,2,,,,,,,,,
103000,3,REQUEST,128,3,,,,,,,,,
150000,1,SEND,128,4,,,,,,,,,
150001,2,SEND,128,5,,,,,,,,,
150002,3,SEND,128,6,,,,,,,,,
151000,1,REQUEST,128,4,,,,,,,,,
152000,2,REQUEST,128,5,,,,,,,,,
153000,3,REQUEST,128,6,,,,,,,,,
200000,1,SEND,1024,7,,,,,,,,,
200001,2,SEND,1024,8,,,,,,,,,
200002,3,SEND,1024,9,,,,,,,,,
220000,1,SEND,128,10,,,,,,,,,
240000,2,SEND,128,11,,,,,,,,,
260000,3,SEND,128,12,,,,,,,,,
280000,1,SEND,128,13,,,,,,,,,
300000,2,SEND,128,14,,,,,,,,,
320000,3,SEND,128,15,,,,,,,,,
340000,1,SEND,128,16,,,,,,,,,
360000,2,SEND,128,17,,,,,,,,,
380000,3,SEND,128,18,,,,,,,,,
400000,1,SEND,128,19,,,,,,,,,
420000,2,SEND,128,20,,,,,,,,,
440000,3,SEND,128,21,,,,,,,,,
460000,1,SEND,128,22,,,,,,,,,
480000,2,SEND,128,23,,,,,,,,,
500000,3,SEND,128,24,,,,,,,,,
520000,1,SEND,128,25,,,,,,,,,
540000,2,SEND,128,26,,,,,,,,,
560000,3,SEND,128,27,,,,,,,,,
580000,1,SEND,128,28,,,,,,,,,
600000,2,SEND,128,29,,,,,,,,,
620000,3,SEND,128,30,,,,,,,,,
640000,1,SEND,1024,31,,,,,,,,,
660000,1,REQUEST,128,4,,,,,,,,,
680000,2,REQUEST,128,5,,,,,,,,,
700000,3,REQUEST,128,6,,,,,,,,,
