time, device, operation, ts, tr_data_tag, time_end, latency
0, 1, SEND, 1024, 1, 148945, 148945
10000, 2, SEND, 1024, 2, 158945, 148945
20000, 1, SEND, 1024, 3, 297890, 277890
30000, 2, SEND, 1024, 4, 307890, 277890
40000, 1, SEND, 1024, 5, 446835, 406835
50000, 2, SEND, 1024, 6, 456835, 406835
60000, 1, SEND, 1024, 7, 595780, 535780
70000, 2, SEND, 1024, 8, 605780, 535780
80000, 1, SEND, 1024, 9, 744725, 664725
90000, 2, SEND, 1024, 10, 754725, 664725
100000, 1, SEND, 1024, 11, 893670, 793670
110000, 2, SEND, 1024, 12, 903670, 793670
120000, 1, SEND, 1024, 13, 683709282, 683589282
130000, 2, SEND, 1024, 14, 683709283, 683579283
140000, 1, SEND, 1024, 15, 1366524894, 1366384894
150000, 2, SEND, 1024, 16, 1366524895, 1366374895
160000, 3, REQUEST, 1024, 3, 446835, 286835
170000, 3, REQUEST, 1024, 12, 1052615, 882615
180000, 3, REQUEST, 1024, 7, 754726, 574726
190000, 3, REQUEST, 1024, 6, 605780, 415780
200000, 3, REQUEST, 1024, 15, 1366673839, 1366473839
893670, 0, SEND, 1024, 1, 683560337, 682666667
683709282, 0, SEND, 1024, 2, 1366375949, 682666667
