time, device, operation, ts, tr_data_tag, time_end, latency
0, 1, SEND, 128, 1, 18618, 18618
20000, 2, REQUEST, 128, 1, 38618, 18618
40000, 1, SEND, 128, 2, 58618, 18618
60000, 2, REQUEST, 128, 2, 78618, 18618
80000, 1, SEND, 128, 3, 98618, 18618
100000, 2, REQUEST, 128, 3, 118618, 18618
101000, 3, REQUEST, 128, 1, 119618, 18618
102000, 3, REQUEST, 128, 2, 138236, 36236
103000, 3, REQUEST, 128, 3, 156854, 53854
150000, 1, SEND, 128, 4, 168618, 18618
150001, 2, SEND, 128, 5, 168619, 18618
150002, 3, SEND, 128, 6, 168620, 18618
151000, 1, REQUEST, 128, 4, 187236, 36236
152000, 2, REQUEST, 128, 5, 187237, 35237
153000, 3, REQUEST, 128, 6, 187238, 34238
200000, 1, SEND, 1024, 7, 348945, 148945
200001, 2, SEND, 1024, 8, 348946, 148945
200002, 3, SEND, 1024, 9, 348947, 148945
220000, 1, SEND, 128, 10, 367563, 147563
240000, 2, SEND, 128, 11, 367564, 127564
260000, 3, SEND, 128, 12, 367565, 107565
280000, 1, SEND, 128, 13, 386181, 106181
300000, 2, SEND, 128, 14, 386182, 86182
320000, 3, SEND, 128, 15, 386183, 66183
340000, 1, SEND, 128, 16, 404799, 64799
360000, 2, SEND, 128, 17, 404800, 44800
380000, 3, SEND, 128, 18, 404801, 24801
400000, 1, SEND, 128, 19, 423417, 23417
420000, 2, SEND, 128, 20, 438618, 18618
440000, 3, SEND, 128, 21, 458618, 18618
460000, 1, SEND, 128, 22, 478618, 18618
480000, 2, SEND, 128, 23, 498618, 18618
500000, 3, SEND, 128, 24, 518618, 18618
520000, 1, SEND, 128, 25, 538618, 18618
540000, 2, SEND, 128, 26, 558618, 18618
560000, 3, SEND, 128, 27, 578618, 18618
580000, 1, SEND, 128, 28, 598618, 18618
600000, 2, SEND, 128, 29, 618618, 18618
620000, 3, SEND, 128, 30, 638618, 18618
640000, 1, SEND, 1024, 31, 788945, 148945
660000, 1, REQUEST, 128, 4, 678618, 18618
680000, 2, REQUEST, 128, 5, 698618, 18618
700000, 3, REQUEST, 128, 6, 718618, 18618
